"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"CME","203","Strength Of Materials","2737","Civil, Matls & Env Engineering","34","39","54","12","2","0","0","0","0","0","0","0","0","0","0","8","Karpov, Eduard","149"
"CME","205","Structural Analysis I","2737","Civil, Matls & Env Engineering","9","10","15","6","4","0","0","0","0","0","0","0","0","0","0","2","Ansari, Farhad","46"
"CME","211","Fluid Mechanics and Hydraulics","2737","Civil, Matls & Env Engineering","20","14","12","1","2","0","0","0","0","0","0","0","0","0","0","1","Abokifa, Ahmed","50"
"CME","260","Properties Of Materials","2737","Civil, Matls & Env Engineering","36","42","37","0","0","0","0","0","0","0","0","0","0","0","0","4","Karpov, Eduard","119"
"CME","261","Materials For Manufacturing","2737","Civil, Matls & Env Engineering","11","12","21","2","1","0","0","0","0","0","0","0","0","0","0","11","Daly, Matthew","58"
"CME","297","Civil Eng Drawing and Design","2737","Civil, Matls & Env Engineering","34","10","1","2","1","0","0","0","3","0","0","0","0","0","0","4","Peiravian, Farideddin","55"
"CME","300","Concrete Properties&Compositn","2737","Civil, Matls & Env Engineering","22","21","3","0","1","0","0","0","0","0","0","0","0","0","0","0","Issa, Mohsen","47"
"CME","301","Behav & Dsgn Metal Struct","2737","Civil, Matls & Env Engineering","17","10","9","3","1","0","0","0","0","0","0","0","0","0","0","3","Ozevin, Didem","43"
"CME","302","Transportation Engr","2737","Civil, Matls & Env Engineering","6","11","10","13","3","0","0","0","1","0","0","0","0","0","0","2","Lin, Jie","46"
"CME","311","Water Resources Engineering","2737","Civil, Matls & Env Engineering","17","15","4","1","1","0","0","0","0","0","0","0","0","0","0","0","Schulenberg, Joseph W","38"
"CME","315","Soil Mechanics & Lab","2737","Civil, Matls & Env Engineering","7","15","13","4","0","0","0","0","0","0","0","0","0","0","0","0","Reddy, Krishna R","39"
